episode,epsilon,reward,steps,success,risk_exposure,redundant_actions,escalation_attempts,mean_loss
1.0,1.0,-1.75,8.0,0.0,0.0,0.0,0.0,0.0
2.0,0.99981,9.7,8.0,1.0,0.3,0.0,1.0,0.0
3.0,0.99962,-1.25,6.0,0.0,0.0,0.0,0.0,0.0
4.0,0.99943,9.899999999999999,8.0,1.0,0.1,0.0,1.0,0.0
5.0,0.99924,-19.5,6.0,0.0,0.0,0.0,0.0,0.0
6.0,0.99905,-7.5,6.0,0.0,0.0,0.0,0.0,0.0
7.0,0.99886,-0.5,3.0,0.0,0.0,0.0,0.0,0.0
8.0,0.99867,17.4,2.0,1.0,0.1,0.0,1.0,0.0
9.0,0.99848,-6.25,1.0,0.0,0.0,0.0,0.0,0.0
10.0,0.99829,-6.25,1.0,0.0,0.0,0.0,0.0,0.0
11.0,0.9981,4.149999999999999,7.0,1.0,0.1,0.0,1.0,0.0
12.0,0.99791,-0.25,2.0,0.0,0.0,0.0,0.0,0.0
13.0,0.99772,-6.75,3.0,0.0,0.0,0.0,0.0,0.0
14.0,0.99753,16.05,6.0,1.0,0.45,0.0,1.0,24.437257766723633
15.0,0.99734,-6.5,2.0,0.0,0.0,0.0,0.0,28.189193725585938
16.0,0.99715,-9.75,3.0,0.0,0.0,0.0,0.0,22.528717041015625
17.0,0.99696,-6.25,1.0,0.0,0.0,0.0,0.0,28.395870208740234
18.0,0.99677,-7.75,7.0,0.0,0.0,0.0,0.0,23.425641468593053
19.0,0.99658,17.4,2.0,1.0,0.1,0.0,1.0,26.915783882141113
20.0,0.99639,16.8,4.0,1.0,0.2,0.0,1.0,21.73423480987549
21.0,0.9962,-6.5,2.0,0.0,0.0,0.0,0.0,32.215789794921875
22.0,0.99601,-9.75,3.0,0.0,0.0,0.0,0.0,24.38185183207194
23.0,0.99582,-1.5,7.0,0.0,0.0,0.0,0.0,23.885875974382675
24.0,0.99563,-1.0,5.0,0.0,0.0,0.0,0.0,21.949118423461915
25.0,0.99544,-17.0,8.0,0.0,0.0,0.0,0.0,19.695222854614258
26.0,0.99525,-7.0,4.0,0.0,0.0,0.0,0.0,17.200827598571777
27.0,0.9950600000000001,-10.0,4.0,0.0,0.0,0.0,0.0,10.242331981658936
28.0,0.99487,16.07,7.0,1.0,0.18,0.0,1.0,11.431782041277204
29.0,0.99468,-0.25,2.0,0.0,0.0,0.0,0.0,10.223312377929688
30.0,0.99449,15.55,9.0,1.0,0.2,0.0,1.0,5.618042839898004
31.0,0.9943,-2.25,10.0,0.0,0.0,0.0,0.0,4.680362176895142
32.0,0.99411,-7.25,5.0,0.0,0.0,0.0,0.0,3.6174851417541505
33.0,0.99392,-2.0,9.0,0.0,0.0,0.0,0.0,2.7656739950180054
34.0,0.99373,-2.25,10.0,0.0,0.0,0.0,0.0,2.363892161846161
35.0,0.99354,-17.5,10.0,0.0,0.0,0.0,0.0,1.864349550008774
36.0,0.99335,6.449999999999999,9.0,1.0,0.3,0.0,1.0,1.739377538363139
37.0,0.99316,-0.25,2.0,0.0,0.0,0.0,0.0,1.4492282271385193
38.0,0.99297,-1.75,8.0,0.0,0.0,0.0,0.0,1.3992254063487053
39.0,0.99278,-11.0,8.0,0.0,0.0,0.0,0.0,1.5543901398777962
40.0,0.99259,-1.75,8.0,0.0,0.0,0.0,0.0,1.2681095376610756
41.0,0.9924,-6.75,3.0,0.0,0.0,0.0,0.0,1.4360798994700115
42.0,0.99221,-26.0,8.0,0.0,0.0,0.0,0.0,1.3299529403448105
43.0,0.99202,-7.25,5.0,0.0,0.0,0.0,0.0,1.4371442317962646
44.0,0.99183,-6.75,3.0,0.0,0.0,0.0,0.0,1.424143393834432
45.0,0.99164,-6.75,3.0,0.0,0.0,0.0,0.0,1.3318636616071065
46.0,0.99145,-2.0,9.0,0.0,0.0,0.0,0.0,1.2014559043778315
47.0,0.99126,-8.25,9.0,0.0,0.0,0.0,0.0,1.0977054172092013
48.0,0.99107,-6.5,2.0,0.0,0.0,0.0,0.0,1.0077382922172546
49.0,0.99088,-1.25,6.0,0.0,0.0,0.0,0.0,1.1667828460534413
