episode,epsilon,reward,steps,success,risk_exposure,redundant_actions,escalation_attempts,mean_loss
50.0,0.99069,-1.75,8.0,0.0,0.0,0.0,0.0,1.0071083679795265
51.0,0.9905,-0.5,3.0,0.0,0.0,0.0,0.0,1.2164523998896282
52.0,0.99031,-8.25,9.0,0.0,0.0,0.0,0.0,0.9920494887563918
53.0,0.99012,16.55,5.0,1.0,0.2,0.0,1.0,1.0801753997802734
54.0,0.98993,-8.25,9.0,0.0,0.0,0.0,0.0,1.1482943958706326
55.0,0.98974,-6.25,1.0,0.0,0.0,0.0,0.0,0.7342973947525024
56.0,0.98955,-2.1999999999999993,8.0,1.0,0.2,0.0,1.0,0.9696009531617165
57.0,0.98936,-6.75,3.0,0.0,0.0,0.0,0.0,1.5136444171269734
58.0,0.98917,17.32,2.0,1.0,0.18,0.0,1.0,1.087165206670761
59.0,0.98898,-6.5,2.0,0.0,0.0,0.0,0.0,1.0802477598190308
60.0,0.98879,-1.5,7.0,0.0,0.0,0.0,0.0,1.1884241785321916
61.0,0.9886,-1.75,8.0,0.0,0.0,0.0,0.0,1.1825513243675232
62.0,0.98841,-6.75,3.0,0.0,0.0,0.0,0.0,1.0406209627787273
63.0,0.98822,-2.0,9.0,0.0,0.0,0.0,0.0,0.9345263772540622
64.0,0.98803,-1.0,5.0,0.0,0.0,0.0,0.0,1.0533841371536254
65.0,0.98784,-7.25,5.0,0.0,0.0,0.0,0.0,0.9556186437606812
66.0,0.98765,-7.0,4.0,0.0,0.0,0.0,0.0,0.9586943089962006
67.0,0.98746,-7.25,5.0,0.0,0.0,0.0,0.0,0.7956578850746154
68.0,0.98727,-7.0,4.0,0.0,0.0,0.0,0.0,0.9283923208713531
69.0,0.98708,-7.75,7.0,0.0,0.0,0.0,0.0,0.8272593191691807
70.0,0.98689,-2.0,9.0,0.0,0.0,0.0,0.0,0.6749020980464088
71.0,0.9867,-0.5,3.0,0.0,0.0,0.0,0.0,1.0346007744471233
72.0,0.98651,-8.25,9.0,0.0,0.0,0.0,0.0,0.6760807467831506
73.0,0.98632,-9.75,3.0,0.0,0.0,0.0,0.0,1.0243162314097087
74.0,0.98613,13.55,5.0,1.0,0.2,0.0,1.0,0.8006762742996216
75.0,0.98594,-6.75,3.0,0.0,0.0,0.0,0.0,0.651063084602356
76.0,0.98575,17.4,2.0,1.0,0.1,0.0,1.0,0.707937091588974
77.0,0.98556,-1.5,7.0,0.0,0.0,0.0,0.0,0.721460929938725
78.0,0.98537,-7.0,4.0,0.0,0.0,0.0,0.0,0.6360338628292084
79.0,0.9851800000000001,-0.5,3.0,0.0,0.0,0.0,0.0,0.6675360997517904
80.0,0.98499,-6.5,2.0,0.0,0.0,0.0,0.0,0.7527763843536377
81.0,0.9848,13.8,4.0,1.0,0.2,0.0,1.0,0.844977006316185
82.0,0.98461,13.8,4.0,1.0,0.2,0.0,1.0,0.7210653275251389
83.0,0.98442,-26.25,9.0,0.0,0.0,0.0,0.0,0.838902837700314
84.0,0.98423,-0.75,4.0,0.0,0.0,0.0,0.0,0.7376815676689148
85.0,0.98404,-6.75,3.0,0.0,0.0,0.0,0.0,0.7902711431185404
86.0,0.98385,-1.0,5.0,0.0,0.0,0.0,0.0,0.8761809349060059
87.0,0.98366,17.07,3.0,1.0,0.18,0.0,1.0,0.5562180380026499
88.0,0.98347,-1.5,7.0,0.0,0.0,0.0,0.0,0.6451379231044224
89.0,0.98328,10.899999999999999,4.0,1.0,0.1,0.0,1.0,0.7488266080617905
90.0,0.98309,-0.25,2.0,0.0,0.0,0.0,0.0,1.0386593341827393
91.0,0.9829,13.399999999999999,6.0,1.0,0.1,0.0,1.0,0.9518585105737051
92.0,0.98271,-8.0,8.0,0.0,0.0,0.0,0.0,0.6551222652196884
93.0,0.98252,16.07,7.0,1.0,0.18,0.0,1.0,0.788201664175306
94.0,0.98233,13.55,5.0,1.0,0.2,0.0,1.0,0.7623790442943573
95.0,0.98214,-7.5,6.0,0.0,0.0,0.0,0.0,0.5151341011126837
96.0,0.98195,-21.8,10.0,0.0,0.3,0.0,1.0,17.74744324684143
97.0,0.98176,-6.75,3.0,0.0,0.0,0.0,0.0,16.625887870788574
98.0,0.98157,-7.25,5.0,0.0,0.0,0.0,0.0,20.653004455566407
99.0,0.98138,13.82,4.0,1.0,0.18,0.0,1.0,15.841273307800293
100.0,0.98119,-0.5,3.0,0.0,0.0,0.0,0.0,15.63107681274414
101.0,0.981,-13.0,4.0,0.0,0.0,0.0,0.0,14.129271268844604
102.0,0.98081,-6.5,2.0,0.0,0.0,0.0,0.0,12.93700885772705
103.0,0.98062,-7.5,6.0,0.0,0.0,0.0,0.0,13.583446820576986
104.0,0.98043,-6.25,1.0,0.0,0.0,0.0,0.0,15.476919174194336
105.0,0.98024,-2.0,9.0,0.0,0.0,0.0,0.0,11.683025783962673
106.0,0.98005,-1.5,7.0,0.0,0.0,0.0,0.0,15.844087873186384
107.0,0.97986,12.55,9.0,1.0,0.2,0.0,1.0,13.510542975531685
108.0,0.97967,-0.75,4.0,0.0,0.0,0.0,0.0,11.276535749435425
109.0,0.97948,-7.25,5.0,0.0,0.0,0.0,0.0,12.970587921142577
110.0,0.97929,15.8,8.0,1.0,0.2,0.0,1.0,14.742207288742065
111.0,0.9791,-0.75,4.0,0.0,0.0,0.0,0.0,12.918954849243164
112.0,0.97891,-6.75,3.0,0.0,0.0,0.0,0.0,26.13060124715169
113.0,0.97872,-0.5,3.0,0.0,0.0,0.0,0.0,14.366997083028158
114.0,0.97853,4.050000000000001,7.0,1.0,0.2,0.0,1.0,14.912920543125697
115.0,0.97834,-0.25,2.0,0.0,0.0,0.0,0.0,12.882227897644043
116.0,0.97815,14.05,3.0,1.0,0.2,0.0,1.0,10.152876377105713
117.0,0.97796,-7.0,4.0,0.0,0.0,0.0,0.0,14.653947234153748
118.0,0.97777,-16.5,6.0,0.0,0.0,0.0,0.0,13.763552824656168
119.0,0.97758,-7.75,7.0,0.0,0.0,0.0,0.0,12.762185505458287
120.0,0.97739,-6.5,2.0,0.0,0.0,0.0,0.0,17.929501056671143
121.0,0.9772,9.8,8.0,1.0,0.2,0.0,1.0,13.727052748203278
122.0,0.97701,-8.0,8.0,0.0,0.0,0.0,0.0,11.790235549211502
123.0,0.97682,-12.43,9.0,0.0,0.18,0.0,1.0,10.438371340433756
124.0,0.97663,-8.0,8.0,0.0,0.0,0.0,0.0,10.537623167037964
125.0,0.97644,-13.25,5.0,0.0,0.0,0.0,0.0,9.400378036499024
126.0,0.97625,-1.25,6.0,0.0,0.0,0.0,0.0,12.504313309987387
127.0,0.97606,16.55,4.0,1.0,0.45,0.0,1.0,10.788081407546997
128.0,0.97587,-10.5,6.0,0.0,0.0,0.0,0.0,9.57328987121582
129.0,0.97568,-1.0,5.0,0.0,0.0,0.0,0.0,9.513704681396485
130.0,0.97549,-6.25,1.0,0.0,0.0,0.0,0.0,8.050333976745605
131.0,0.9753000000000001,-7.25,5.0,0.0,0.0,0.0,0.0,10.285832595825195
132.0,0.97511,-7.75,7.0,0.0,0.0,0.0,0.0,10.261827877589635
133.0,0.97492,-1.75,8.0,0.0,0.0,0.0,0.0,7.788436412811279
134.0,0.97473,-16.25,5.0,0.0,0.0,0.0,0.0,8.913979148864746
135.0,0.97454,-6.25,1.0,0.0,0.0,0.0,0.0,8.69705867767334
136.0,0.97435,15.82,8.0,1.0,0.18,0.0,1.0,6.843745112419128
137.0,0.97416,-11.68,6.0,0.0,0.18,0.0,1.0,9.13431946436564
138.0,0.97397,-6.75,9.0,1.0,0.5,0.0,2.0,10.312419997321236
139.0,0.97378,-6.5,2.0,0.0,0.0,0.0,0.0,10.84229302406311
140.0,0.97359,-7.25,5.0,0.0,0.0,0.0,0.0,7.4118585109710695
141.0,0.9734,-16.25,5.0,0.0,0.0,0.0,0.0,10.685857772827148
142.0,0.97321,-7.0,4.0,0.0,0.0,0.0,0.0,9.238767504692078
143.0,0.97302,-0.25,2.0,0.0,0.0,0.0,0.0,10.707561016082764
144.0,0.97283,-6.5,2.0,0.0,0.0,0.0,0.0,13.272132873535156
145.0,0.97264,-9.75,3.0,0.0,0.0,0.0,0.0,7.628241856892903
146.0,0.97245,-23.0,8.0,0.0,0.0,0.0,0.0,13.302481174468994
147.0,0.97226,-13.5,6.0,0.0,0.0,0.0,0.0,13.551942745844523
148.0,0.97207,-6.75,3.0,0.0,0.0,0.0,0.0,26.239054997762043
149.0,0.97188,-16.25,5.0,0.0,0.0,0.0,0.0,20.67298469543457
150.0,0.97169,0.0,1.0,0.0,0.0,0.0,0.0,31.873733520507812
151.0,0.9715,-1.75,8.0,0.0,0.0,0.0,0.0,17.73039937019348
152.0,0.97131,-13.75,7.0,0.0,0.0,0.0,0.0,16.070418494088308
153.0,0.97112,-1.75,8.0,0.0,0.0,0.0,0.0,15.491562128067017
154.0,0.97093,17.4,2.0,1.0,0.1,0.0,1.0,25.059731483459473
155.0,0.97074,14.149999999999999,3.0,1.0,0.1,0.0,1.0,23.08583386739095
156.0,0.97055,-6.75,3.0,0.0,0.0,0.0,0.0,17.60089365641276
157.0,0.97036,10.8,4.0,1.0,0.2,0.0,1.0,21.32303810119629
158.0,0.97017,7.550000000000001,5.0,1.0,0.2,0.0,1.0,18.578833389282227
159.0,0.96998,-7.25,5.0,0.0,0.0,0.0,0.0,19.363185119628906
160.0,0.96979,-0.75,4.0,0.0,0.0,0.0,0.0,17.302995204925537
161.0,0.9696,-14.0,8.0,0.0,0.0,0.0,0.0,17.720257997512817
162.0,0.96941,-1.0,5.0,0.0,0.0,0.0,0.0,16.289240074157714
163.0,0.96922,-1.75,8.0,0.0,0.0,0.0,0.0,13.512604832649231
164.0,0.9690300000000001,-2.0,9.0,0.0,0.0,0.0,0.0,14.225809362199572
165.0,0.96884,14.149999999999999,3.0,1.0,0.1,0.0,1.0,15.420197168986002
166.0,0.96865,-16.25,5.0,0.0,0.0,0.0,0.0,13.197874450683594
167.0,0.96846,17.4,2.0,1.0,0.1,0.0,1.0,15.653083801269531
168.0,0.96827,-1.5,7.0,0.0,0.0,0.0,0.0,12.355434826442174
169.0,0.96808,17.4,2.0,1.0,0.1,0.0,1.0,12.578820705413818
170.0,0.96789,16.05,6.0,1.0,0.45,0.0,1.0,13.02244790395101
171.0,0.9677,-19.5,6.0,0.0,0.0,0.0,0.0,11.073335488637289
172.0,0.96751,-6.75,3.0,0.0,0.0,0.0,0.0,13.112567265828451
173.0,0.96732,-7.25,5.0,0.0,0.0,0.0,0.0,13.265650749206543
174.0,0.96713,-6.25,1.0,0.0,0.0,0.0,0.0,9.900659561157227
175.0,0.96694,-6.25,1.0,0.0,0.0,0.0,0.0,10.361708641052246
176.0,0.96675,-7.25,5.0,0.0,0.0,0.0,0.0,12.337558364868164
177.0,0.96656,6.899999999999999,8.0,1.0,0.1,0.0,1.0,9.571760296821594
178.0,0.96637,-23.0,8.0,0.0,0.0,0.0,0.0,10.011804759502411
179.0,0.96618,-8.0,8.0,0.0,0.0,0.0,0.0,12.118800282478333
180.0,0.96599,-13.0,4.0,0.0,0.0,0.0,0.0,12.835840702056885
181.0,0.9658,-7.0,4.0,0.0,0.0,0.0,0.0,16.839308738708496
182.0,0.96561,-6.5,2.0,0.0,0.0,0.0,0.0,25.48135280609131
183.0,0.96542,-2.25,10.0,0.0,0.0,0.0,0.0,12.80172905921936
184.0,0.96523,-6.75,3.0,0.0,0.0,0.0,0.0,20.344886144002277
185.0,0.96504,-12.68,10.0,0.0,0.18,0.0,1.0,18.427313899993898
186.0,0.96485,-7.0,4.0,0.0,0.0,0.0,0.0,14.46640396118164
187.0,0.96466,16.07,7.0,1.0,0.18,0.0,1.0,21.713520731244767
188.0,0.96447,16.95,3.0,1.0,0.3,0.0,1.0,23.878868738810223
189.0,0.96428,-6.5,2.0,0.0,0.0,0.0,0.0,18.54170799255371
190.0,0.96409,9.45,9.0,1.0,0.3,0.0,1.0,17.734672864278156
191.0,0.9639,-7.5,6.0,0.0,0.0,0.0,0.0,13.731953303019205
192.0,0.96371,-6.5,2.0,0.0,0.0,0.0,0.0,12.863712310791016
193.0,0.96352,-13.25,5.0,0.0,0.0,0.0,0.0,11.578337287902832
194.0,0.96333,-6.5,2.0,0.0,0.0,0.0,0.0,14.472267627716064
195.0,0.96314,-2.25,10.0,0.0,0.0,0.0,0.0,17.47848262786865
196.0,0.96295,-5.699999999999999,10.0,1.0,0.2,0.0,1.0,16.93243989944458
197.0,0.9627600000000001,-7.75,7.0,0.0,0.0,0.0,0.0,11.666172436305455
198.0,0.96257,-7.0,4.0,0.0,0.0,0.0,0.0,13.524762868881226
199.0,0.96238,10.899999999999999,4.0,1.0,0.1,0.0,1.0,10.791594862937927
200.0,0.96219,3.8999999999999986,8.0,1.0,0.1,0.0,1.0,12.90340805053711
201.0,0.962,-6.25,1.0,0.0,0.0,0.0,0.0,9.936606407165527
202.0,0.96181,-6.75,3.0,0.0,0.0,0.0,0.0,9.952902793884277
203.0,0.96162,-1.75,8.0,0.0,0.0,0.0,0.0,10.316279292106628
204.0,0.96143,7.300000000000001,6.0,1.0,0.2,0.0,1.0,10.705198923746744
205.0,0.96124,-6.75,3.0,0.0,0.0,0.0,0.0,11.21731154123942
206.0,0.96105,-9.75,3.0,0.0,0.0,0.0,0.0,9.115520477294922
207.0,0.96086,-0.25,2.0,0.0,0.0,0.0,0.0,10.637878656387329
208.0,0.96067,0.0,1.0,0.0,0.0,0.0,0.0,8.054797172546387
209.0,0.96048,-5.800000000000001,10.0,1.0,0.3,0.0,1.0,10.309340620040894
210.0,0.96029,-7.5,6.0,0.0,0.0,0.0,0.0,7.4204795360565186
211.0,0.9601,-2.0,9.0,0.0,0.0,0.0,0.0,10.090974065992567
212.0,0.95991,-2.25,10.0,0.0,0.0,0.0,0.0,7.993523788452149
213.0,0.95972,-7.25,5.0,0.0,0.0,0.0,0.0,9.030728816986084
214.0,0.95953,0.0,1.0,0.0,0.0,0.0,0.0,9.590705871582031
215.0,0.95934,-1.25,6.0,0.0,0.0,0.0,0.0,8.947356541951498
216.0,0.95915,-7.25,5.0,0.0,0.0,0.0,0.0,7.330558395385742
217.0,0.95896,-0.75,4.0,0.0,0.0,0.0,0.0,6.608553767204285
218.0,0.95877,-5.449999999999999,9.0,1.0,0.2,0.0,1.0,11.181929111480713
219.0,0.95858,13.399999999999999,6.0,1.0,0.1,0.0,1.0,8.745028853416443
220.0,0.95839,-19.5,6.0,0.0,0.0,0.0,0.0,11.060155550638834
221.0,0.9582,-7.0,4.0,0.0,0.0,0.0,0.0,7.657107949256897
222.0,0.95801,-7.25,5.0,0.0,0.0,0.0,0.0,8.398944187164307
223.0,0.95782,-10.75,7.0,0.0,0.0,0.0,0.0,8.985795634133476
224.0,0.95763,10.55,5.0,1.0,0.2,0.0,1.0,6.0479710578918455
225.0,0.95744,-7.25,5.0,0.0,0.0,0.0,0.0,8.291486644744873
226.0,0.95725,-6.5,2.0,0.0,0.0,0.0,0.0,13.05036211013794
227.0,0.95706,-7.0,4.0,0.0,0.0,0.0,0.0,9.045196056365967
228.0,0.95687,-16.75,7.0,0.0,0.0,0.0,0.0,8.438976083483015
229.0,0.95668,-6.5,2.0,0.0,0.0,0.0,0.0,9.317959308624268
230.0,0.95649,-0.75,4.0,0.0,0.0,0.0,0.0,8.209163069725037
231.0,0.9563,4.149999999999999,7.0,1.0,0.1,0.0,1.0,9.18135152544294
232.0,0.95611,-1.5,7.0,0.0,0.0,0.0,0.0,7.061433213097708
233.0,0.95592,16.9,4.0,1.0,0.1,0.0,1.0,10.33568024635315
234.0,0.95573,-0.75,4.0,0.0,0.0,0.0,0.0,8.212725400924683
235.0,0.9555400000000001,0.0,1.0,0.0,0.0,0.0,0.0,7.974780082702637
236.0,0.95535,-7.0,4.0,0.0,0.0,0.0,0.0,7.539976358413696
237.0,0.95516,-16.25,5.0,0.0,0.0,0.0,0.0,8.861076736450196
238.0,0.95497,-1.5,7.0,0.0,0.0,0.0,0.0,8.131000927516393
239.0,0.95478,-6.75,3.0,0.0,0.0,0.0,0.0,9.782538731892904
240.0,0.95459,-7.75,7.0,0.0,0.0,0.0,0.0,8.201493671962194
241.0,0.9544,1.1499999999999986,7.0,1.0,0.1,0.0,1.0,8.495074204036168
242.0,0.95421,-16.75,7.0,0.0,0.0,0.0,0.0,8.940392289842878
243.0,0.95402,-2.25,10.0,0.0,0.0,0.0,0.0,7.870494699478149
244.0,0.95383,-7.25,5.0,0.0,0.0,0.0,0.0,7.759978008270264
245.0,0.95364,10.2,6.0,1.0,0.3,0.0,1.0,8.095038572947184
246.0,0.95345,-7.0,4.0,0.0,0.0,0.0,0.0,7.961698651313782
247.0,0.95326,-1.0,5.0,0.0,0.0,0.0,0.0,8.117857265472413
248.0,0.95307,-0.75,4.0,0.0,0.0,0.0,0.0,10.089812278747559
249.0,0.95288,16.9,4.0,1.0,0.1,0.0,1.0,8.009841680526733
250.0,0.95269,-6.25,1.0,0.0,0.0,0.0,0.0,6.188807964324951
251.0,0.9525,-0.75,4.0,0.0,0.0,0.0,0.0,9.354186415672302
252.0,0.95231,10.45,5.0,1.0,0.3,0.0,1.0,8.315059804916382
253.0,0.95212,-1.25,6.0,0.0,0.0,0.0,0.0,9.347086509068808
254.0,0.95193,-6.25,1.0,0.0,0.0,0.0,0.0,9.527379989624023
255.0,0.95174,-6.5,2.0,0.0,0.0,0.0,0.0,8.413610219955444
256.0,0.95155,-20.0,8.0,0.0,0.0,0.0,0.0,7.838419675827026
257.0,0.95136,-1.0,5.0,0.0,0.0,0.0,0.0,9.459970569610595
258.0,0.95117,-6.5,2.0,0.0,0.0,0.0,0.0,11.408314228057861
259.0,0.95098,-7.5,6.0,0.0,0.0,0.0,0.0,5.942180315653483
260.0,0.95079,-0.75,4.0,0.0,0.0,0.0,0.0,7.048910856246948
261.0,0.9506,-6.5,2.0,0.0,0.0,0.0,0.0,5.304255723953247
262.0,0.95041,-0.5,3.0,0.0,0.0,0.0,0.0,7.5912736256917315
263.0,0.95022,-7.25,5.0,0.0,0.0,0.0,0.0,5.90509262084961
264.0,0.95003,-1.25,6.0,0.0,0.0,0.0,0.0,6.0623635450998945
265.0,0.94984,-6.25,1.0,0.0,0.0,0.0,0.0,5.896696090698242
266.0,0.94965,-7.0,4.0,0.0,0.0,0.0,0.0,7.052432656288147
267.0,0.94946,-7.5,6.0,0.0,0.0,0.0,0.0,8.39021341005961
268.0,0.9492700000000001,-0.5,3.0,0.0,0.0,0.0,0.0,7.010141054789226
269.0,0.94908,15.55,8.0,1.0,0.45,0.0,1.0,7.411086142063141
270.0,0.94889,-6.75,3.0,0.0,0.0,0.0,0.0,5.060463945070903
271.0,0.9487,-1.75,8.0,0.0,0.0,0.0,0.0,5.185019463300705
272.0,0.94851,3.8999999999999986,8.0,1.0,0.1,0.0,1.0,7.924874365329742
273.0,0.94832,-0.75,4.0,0.0,0.0,0.0,0.0,6.419474124908447
274.0,0.94813,10.55,5.0,1.0,0.2,0.0,1.0,8.032782649993896
275.0,0.94794,-7.25,5.0,0.0,0.0,0.0,0.0,6.540225028991699
276.0,0.94775,-1.5,7.0,0.0,0.0,0.0,0.0,6.85640777860369
277.0,0.94756,-6.5,2.0,0.0,0.0,0.0,0.0,7.269352912902832
278.0,0.94737,-13.5,6.0,0.0,0.0,0.0,0.0,5.747776746749878
279.0,0.94718,-7.5,6.0,0.0,0.0,0.0,0.0,7.4598080317179365
280.0,0.94699,-7.25,5.0,0.0,0.0,0.0,0.0,6.813866806030274
281.0,0.9468,4.050000000000001,7.0,1.0,0.2,0.0,1.0,6.092443772724697
282.0,0.94661,-0.5,3.0,0.0,0.0,0.0,0.0,6.295336723327637
283.0,0.94642,-7.5,6.0,0.0,0.0,0.0,0.0,7.250431259473165
284.0,0.94623,-13.25,5.0,0.0,0.0,0.0,0.0,4.760091733932495
285.0,0.94604,-8.0,8.0,0.0,0.0,0.0,0.0,6.419911205768585
286.0,0.94585,-6.5,2.0,0.0,0.0,0.0,0.0,6.737725734710693
287.0,0.94566,10.149999999999999,7.0,1.0,0.1,0.0,1.0,7.439648491995675
288.0,0.94547,-7.0,4.0,0.0,0.0,0.0,0.0,5.572188377380371
289.0,0.94528,-6.25,1.0,0.0,0.0,0.0,0.0,7.829043388366699
290.0,0.94509,-1.75,8.0,0.0,0.0,0.0,0.0,6.74943619966507
291.0,0.9449,7.449999999999999,5.0,1.0,0.3,0.0,1.0,6.807971477508545
292.0,0.94471,16.4,6.0,1.0,0.1,0.0,1.0,6.501087625821431
293.0,0.94452,-1.0,5.0,0.0,0.0,0.0,0.0,5.300606727600098
294.0,0.94433,3.9499999999999993,7.0,1.0,0.3,0.0,1.0,11.842841999871391
295.0,0.94414,-2.0,9.0,0.0,0.0,0.0,0.0,13.154635217454699
296.0,0.94395,-1.0,5.0,0.0,0.0,0.0,0.0,6.814475250244141
297.0,0.94376,-23.0,8.0,0.0,0.0,0.0,0.0,6.887577533721924
298.0,0.94357,-2.0,9.0,0.0,0.0,0.0,0.0,6.167611545986599
299.0,0.94338,15.57,9.0,1.0,0.18,0.0,1.0,5.806051095326741
300.0,0.94319,-6.5,2.0,0.0,0.0,0.0,0.0,11.414087772369385
301.0,0.9430000000000001,-2.0,9.0,0.0,0.0,0.0,0.0,6.320115910636054
302.0,0.94281,7.300000000000001,6.0,1.0,0.2,0.0,1.0,5.307241439819336
303.0,0.94262,-19.5,6.0,0.0,0.0,0.0,0.0,5.786825180053711
304.0,0.94243,-13.75,7.0,0.0,0.0,0.0,0.0,6.184532642364502
305.0,0.94224,3.6999999999999993,8.0,1.0,0.3,0.0,1.0,4.924767792224884
306.0,0.94205,-6.75,3.0,0.0,0.0,0.0,0.0,5.2450002034505205
307.0,0.94186,-6.75,3.0,0.0,0.0,0.0,0.0,6.353182554244995
308.0,0.94167,-6.25,1.0,0.0,0.0,0.0,0.0,6.27130126953125
309.0,0.94148,-8.0,8.0,0.0,0.0,0.0,0.0,4.355381220579147
310.0,0.94129,-1.25,6.0,0.0,0.0,0.0,0.0,5.778343240420024
311.0,0.9411,11.620000000000001,8.0,1.0,0.38,0.0,2.0,5.498085111379623
312.0,0.94091,-6.25,1.0,0.0,0.0,0.0,0.0,2.1329505443573
313.0,0.94072,3.6999999999999993,8.0,1.0,0.3,0.0,1.0,5.165505468845367
314.0,0.94053,-7.75,7.0,0.0,0.0,0.0,0.0,5.183180025645664
315.0,0.94034,12.8,8.0,1.0,0.2,0.0,1.0,5.254019767045975
316.0,0.94015,16.57,5.0,1.0,0.18,0.0,1.0,5.014182996749878
317.0,0.93996,-1.75,8.0,0.0,0.0,0.0,0.0,4.1213133335113525
318.0,0.93977,10.65,8.0,1.0,1.35,0.0,3.0,5.3806275725364685
319.0,0.93958,-6.25,1.0,0.0,0.0,0.0,0.0,5.8670501708984375
320.0,0.9393900000000001,-7.25,5.0,0.0,0.0,0.0,0.0,4.284971618652344
321.0,0.9392,-16.5,6.0,0.0,0.0,0.0,0.0,4.683990518252055
322.0,0.93901,9.45,9.0,1.0,0.3,0.0,1.0,4.953119463390774
323.0,0.93882,-16.5,6.0,0.0,0.0,0.0,0.0,4.983769138654073
324.0,0.93863,-19.5,6.0,0.0,0.0,0.0,0.0,4.4106606642405195
325.0,0.93844,-0.5,3.0,0.0,0.0,0.0,0.0,4.159112294514974
326.0,0.93825,-6.75,3.0,0.0,0.0,0.0,0.0,5.547976652781169
327.0,0.93806,13.55,5.0,1.0,0.2,0.0,1.0,4.472383165359497
328.0,0.93787,-6.5,2.0,0.0,0.0,0.0,0.0,3.985104203224182
329.0,0.93768,9.8,8.0,1.0,0.2,0.0,1.0,4.072451591491699
